N,P,K,temperature,humidity,ph,NPK_Ratio,rainfall,Wind_Speed (m/s),Solar_Radiation (kWh/m²),Crop Variety Category,Y_Max,Soil_Quality,Crop_Yield
90,42,43,20.87974371,82.00274423,6.502985292000001,1.0588235294117647,202.9355362,3.390431419753597,17.96388995842185,rice,10.0,2,22.813413064731336
85,58,41,21.77046169,80.31964408,7.038096361,0.8585858585858586,226.6555374,3.190906229602193,17.90039211300361,rice,10.0,2,22.283662612217757
60,55,44,23.00445915,82.3207629,7.840207144,0.6060606060606061,263.9642476,3.281972402989741,17.978987396930794,rice,10.0,1,20.742699559382057
74,35,40,26.49109635,80.15836264,6.980400905,0.9866666666666667,242.8640342,3.080669312987806,18.066521528761527,rice,10.0,2,22.732377788232526
78,42,42,20.13017482,81.60487287,7.628472891,0.9285714285714286,262.7173405,3.1143529710931217,17.890803205648393,rice,10.0,1,20.84425241636229
69,37,42,23.05804872,83.37011772,7.073453503,0.8734177215189873,251.0549998,3.2572372365629607,17.89080484742581,rice,10.0,2,22.31810498425564
69,55,38,22.70883798,82.63941394,5.70080568,0.7419354838709677,271.3248604,3.3584082116285194,18.072139824671464,rice,10.0,1,21.80136154695068
94,53,40,20.27774362,82.89408619,5.718627177999999,1.010752688172043,241.9741949,3.245557943653489,17.990962016036015,rice,10.0,1,21.640403187177434
89,54,38,24.51588066,83.53521629999999,6.685346424,0.967391304347826,230.4462359,3.1786908057226073,17.86727110452723,rice,10.0,2,23.063868626799604
68,58,38,23.22397386,83.03322691,6.336253525,0.7083333333333334,221.2091958,3.209925749317258,17.96847454747932,rice,10.0,1,22.965447555486172
91,53,40,26.52723513,81.41753846,5.386167788,0.978494623655914,264.6148697,3.084955835377951,17.86787677383948,rice,10.0,0,21.416362873242196
90,46,42,23.97898217,81.45061596,7.50283396,1.0227272727272727,250.0832336,3.2704481414104594,17.8676455677637,rice,10.0,1,21.446140428027775
78,58,44,26.80079604,80.88684822,5.108681786,0.7647058823529411,284.4364567,3.298229915007264,17.93841477027733,rice,10.0,0,20.960167666535337
93,56,36,24.01497622,82.05687182,6.98435366,1.0108695652173914,185.2773389,3.164787575491615,17.722890518654946,rice,10.0,2,22.583912319735532
94,50,37,25.66585205,80.66385045,6.94801983,1.0804597701149425,209.5869708,3.1629923939989726,17.741726759869422,rice,10.0,2,22.76210368247598
60,48,39,24.28209415,80.30025587,7.042299068999999,0.6896551724137931,231.0863347,3.2365844317401278,17.857989790196626,rice,10.0,1,22.4561522356175
85,38,41,21.58711777,82.7883708,6.2490506560000005,1.0759493670886076,276.65524589999995,3.1663246351708634,17.812935431087283,rice,10.0,2,22.73069034601745
91,35,39,23.79391957,80.41817957,6.970859754,1.2297297297297298,206.2611855,3.2033833473123403,17.945643276380252,rice,10.0,3,22.550650831410586
77,38,36,21.8652524,80.1923008,5.953933276,1.0405405405405406,224.55501690000003,3.419968787691574,17.823416135568603,rice,10.0,1,22.23522668491365
88,35,40,23.57943626,83.58760316,5.85393208,1.1733333333333333,291.2986618000001,3.1852940387003232,17.772988172987198,rice,10.0,1,22.210281295464718
89,45,36,21.32504158,80.47476396,6.442475375,1.0987654320987654,185.4974732,3.1741625935728006,18.060783420012882,rice,10.0,2,22.821215803190054
76,40,43,25.15745531,83.11713476,5.070175667,0.9156626506024096,231.3843163,3.145242428211407,17.89164091307207,rice,10.0,0,20.780712142629916
67,59,41,21.94766735,80.97384195,6.012632591,0.67,213.3560921,3.284415805924916,17.92097136358952,rice,10.0,1,22.396118124430174
83,41,43,21.0525355,82.67839517,6.254028451,0.9880952380952381,233.1075816,3.1918741914531124,17.77174372449938,rice,10.0,2,22.694052713667215
98,47,37,23.48381344,81.33265073,7.375482851,1.1666666666666667,224.0581164,3.14505930494278,17.859780270668207,rice,10.0,2,21.679965274981754
66,53,41,25.0756354,80.52389148,7.778915154,0.7021276595744681,257.0038865,3.342127012002224,17.925310802091712,rice,10.0,1,20.986280663459826
97,59,43,26.35927159,84.04403589,6.2865001760000006,0.9509803921568627,271.35861370000003,3.3519569092262866,17.799119185378494,rice,10.0,2,23.200003358135408
97,50,41,24.52922681,80.54498576,7.070959995,1.065934065934066,260.2634026,3.149954252201052,17.951788344955293,rice,10.0,2,22.44467120540723
60,49,44,20.77576147,84.49774397,6.244841491,0.6451612903225806,240.0810647,3.023342613638861,17.854154674128846,rice,10.0,1,22.67638992254533
84,51,35,22.30157427,80.64416466,6.043304899,0.9767441860465116,197.9791215,3.310747977758615,17.885049168141396,rice,10.0,2,22.46907171072861
73,57,41,21.44653958,84.94375962,5.824709117,0.7448979591836735,272.2017204,3.1415336261989224,17.854047881897785,rice,10.0,1,22.004097987344416
92,35,40,22.17931888,80.33127223,6.3573893660000005,1.2266666666666666,200.0882787,3.2890591686911996,18.09944636157162,rice,10.0,2,22.846865684645042
85,37,39,24.52783742,82.73685569,6.364134967999999,1.118421052631579,224.67572310000003,3.012986227003739,17.91286882064693,rice,10.0,2,23.06910377799856
98,53,38,20.26707606,81.63895217,5.01450727,1.0769230769230769,270.4417274,3.2992563426048536,17.808447450225135,rice,10.0,0,20.29817519945199
88,54,44,25.7354293,83.88266234,6.149410611,0.8979591836734694,233.1321372,3.0888794158468444,17.996473034331043,rice,10.0,2,22.975449313442233
95,55,42,26.79533926,82.1480873,5.950660556,0.979381443298969,193.3473987,3.283073020681575,17.79213417812362,rice,10.0,1,22.679331932439453
99,57,35,26.75754171,81.17734011,5.960370061,1.076086956521739,272.29990560000005,3.211423915558566,17.9351049026212,rice,10.0,1,22.678516854515852
95,39,36,23.86330467,83.15250801,5.561398642,1.2666666666666666,285.2493645,3.114602666835258,17.718251530732747,rice,10.0,1,21.573807398755843
60,43,44,21.01944696,82.95221726,7.416245107000001,0.6896551724137931,298.40184710000005,3.169292977482245,17.781399938230884,rice,10.0,1,21.382042932873894
63,44,41,24.17298839,83.7287574,5.583370042,0.7411764705882353,257.0343554,3.278628454470593,17.933904666707637,rice,10.0,1,21.654861109547106
62,42,36,22.78133816,82.06719137,6.430010215,0.7948717948717948,248.7183228,3.2205860540864464,17.988065201120268,rice,10.0,1,22.943218757076558
64,45,43,25.62980105,83.52842314,5.534878156,0.7272727272727273,209.9001977,3.268437906822171,17.93135537123972,rice,10.0,1,21.662313950063275
83,60,36,25.59704938,80.14509262,6.903985986,0.8645833333333334,200.834898,3.407640667226471,17.9026537148819,rice,10.0,2,22.831061384341453
82,40,40,23.83067496,84.81360127,6.271478837999999,1.025,298.5601175,3.0535724476038175,17.884108173561795,rice,10.0,2,22.965596443628804
85,52,45,26.31355498,82.36698992,7.224285503,0.8762886597938144,265.5355937,3.3717178662717853,17.766366344083984,rice,10.0,2,22.268082479522278
91,35,38,24.8972823,80.52586088,6.13428721,1.2465753424657535,183.6793207,3.220432202527244,17.842234122281255,rice,10.0,2,22.81536161901606
76,49,42,24.958779,84.47963372,5.206373153,0.8351648351648352,196.95600080000003,3.12011820394261,17.868154666024747,rice,10.0,0,20.993608317056157
74,39,38,23.24113501,84.59201843,7.782051312999999,0.961038961038961,233.0453455,3.076965246201024,18.019930765742618,rice,10.0,1,20.855032105363044
79,43,39,21.66628296,80.70960551,7.062779015,0.9634146341463414,210.8142087,3.191084569697219,17.948580372077572,rice,10.0,2,22.204071446828625
88,55,45,24.63544858,80.41363018,7.730367824,0.88,253.7202781,3.302161619967369,17.73791452758445,rice,10.0,1,21.053775907689484
60,36,43,23.43121862,83.06310136,5.286203711000001,0.759493670886076,219.9048349,3.1972416967371693,17.946626940060206,rice,10.0,0,20.9666803043378
76,60,39,20.0454142,80.3477562,6.766240045,0.7676767676767676,208.5810155,3.3611121017996575,17.875710315079093,rice,10.0,1,22.56550422987599
